Year,iso_code3,ef_ippu_tonne_c4h5f5_per_mmm_gdp_product_use_ods_other
2014,GRL,0.0
2015,GRL,0.0
2016,GRL,0.0
2017,GRL,0.0
2018,GRL,0.0
2019,GRL,0.0
2020,GRL,0.0
2010,GTM,0.0257353123556758
2011,GTM,0.0261996835480836
2012,GTM,0.0278186163319581
2013,GTM,0.0284031474877753
2014,GTM,0.0280883823456007
2015,GTM,0.0267749055753517
2016,GTM,0.0267984834184151
2017,GTM,0.0274798233334892
2018,GTM,0.0289602605205387
2019,GTM,0.0282028638599188
2020,GTM,0.0274840738564807
2010,GUM,0.1212829548395861
2011,GUM,0.121927680315515
2012,GUM,0.1279572471642819
2013,GUM,0.1292307834704406
2014,GUM,0.1265053193129376
2015,GUM,0.1194468984661591
2016,GUM,0.1170881967853183
2017,GUM,0.1177718548903455
2018,GUM,0.1219131927924768
2019,GUM,0.1167603563519434
2020,GUM,0.1120254400045011
2010,GUY,0.0
2011,GUY,0.0
2012,GUY,0.0
2013,GUY,0.0
2014,GUY,0.0
2015,GUY,0.0
2016,GUY,0.0
2017,GUY,0.0
2018,GUY,0.0
2019,GUY,0.0
2020,GUY,0.0
2010,HKG,0.0
2011,HKG,0.0
2012,HKG,0.0
2013,HKG,0.0
2014,HKG,0.0
2015,HKG,0.0
2016,HKG,0.0
2017,HKG,0.0
2018,HKG,0.0
2019,HKG,0.0
2020,HKG,0.0
2010,HND,0.1485308617976086
2011,HND,0.149193167768404
2012,HND,0.1564486493378257
2013,HND,0.1578920430835838
2014,HND,0.1544593921001043
2015,HND,0.1457514751280652
2016,HND,0.1463069799260606
2017,HND,0.1504429423431715
2018,HND,0.1589651803073934
2019,HND,0.1551948918354052
2020,HND,0.1515993049852407
2010,HRV,0.0
2011,HRV,0.0
2012,HRV,0.0
2013,HRV,0.0
2014,HRV,0.0
2015,HRV,0.0
2016,HRV,0.0
2017,HRV,0.0
2018,HRV,0.0
2019,HRV,0.0
2020,HRV,0.0
2010,HTI,0.0
2011,HTI,0.0
2012,HTI,0.0
2013,HTI,0.0
2014,HTI,0.0
2015,HTI,0.0
2016,HTI,0.0
2017,HTI,0.0
2018,HTI,0.0
2019,HTI,0.0
2020,HTI,0.0
2010,HUN,0.1812961952186821
2011,HUN,0.1795646031644637
2012,HUN,0.1832407652808232
2013,HUN,0.1921385523688274
2014,HUN,0.2078534936592741
2015,HUN,0.1573896966518683
2016,HUN,0.1502485488883578
2017,HUN,0.1439445713361231
2018,HUN,0.1387790476511795
2019,HUN,0.134979674276826
