"year","location_code","prodinit_ippu_glass_tonne"
2010,"FSM",28.4082560760295
2011,"FSM",34.9209820753037
2012,"FSM",55.2178929060559
2013,"FSM",26.3596541142349
2014,"FSM",11.547177401352
2015,"FSM",9.93132403883973
2016,"FSM",17.2477660749051
2017,"FSM",11.7809313372591
2018,"FSM",17.9719438353189
2019,"FSM",3.20779515679777
2020,"FSM",13.5856757788022
2010,"GAB",3247.57082475998
2011,"GAB",4122.30311503759
2012,"GAB",3972.87663269829
2013,"GAB",5148.43564191653
2014,"GAB",4956.63560506773
2015,"GAB",5024.61190852388
2016,"GAB",4388.99164763677
2017,"GAB",3993.11357621389
2018,"GAB",3995.53113696465
2019,"GAB",2776.91048829789
2020,"GAB",2285.24852761775
2010,"GBR",811630.841690717
2011,"GBR",824429.873207375
2012,"GBR",735237.158042424
2013,"GBR",754181.27905884
2014,"GBR",831689.930155447
2015,"GBR",842657.766811359
2016,"GBR",790743.007226028
2017,"GBR",806725.721392236
2018,"GBR",792975.64681818
2019,"GBR",765976.025232693
2020,"GBR",698366.889295773
2010,"GEO",7449.1065800354
2011,"GEO",8569.89681044829
2012,"GEO",9743.94801806136
2013,"GEO",12002.5844808889
2014,"GEO",11220.4676757565
2015,"GEO",8940.67008826031
2016,"GEO",8253.77781663766
2017,"GEO",8907.5581580285
2018,"GEO",9993.32328369695
2019,"GEO",11341.2548643067
2020,"GEO",10197.7118025819
2010,"GHA",7214.28205362686
2011,"GHA",9236.29981233899
2012,"GHA",21748.8743189694
2013,"GHA",18757.4056160152
2014,"GHA",13699.7278618111
2015,"GHA",13504.0010420947
2016,"GHA",11757.8993742348
2017,"GHA",13270.1698584062
2018,"GHA",13360.4416347647
2019,"GHA",11817.9644124239
2020,"GHA",25675.9742099653
2010,"GIN",958.027354178107
2011,"GIN",980.51361827937
2012,"GIN",1648.23595159167
2013,"GIN",1711.33648335167
2014,"GIN",1279.73402964962
2015,"GIN",1666.69556624898
2016,"GIN",776.935814715505
2017,"GIN",1392.25097978192
2018,"GIN",1500.05054726001
2019,"GIN",2036.78768087236
2020,"GIN",1438.45412004812
2010,"GMB",619.26656631254
2011,"GMB",1046.77853028133
2012,"GMB",654.20332490763
2013,"GMB",861.616763208605
2014,"GMB",443.172179693455
2015,"GMB",602.880507216574
2016,"GMB",858.891613488236
2017,"GMB",1064.28215505497
2018,"GMB",1174.46659042916
2019,"GMB",2033.33461139963
2020,"GMB",1779.40891658005
2010,"GNB",88.4013096760684
2011,"GNB",216.035629397835
2012,"GNB",144.184907890048
2013,"GNB",107.286805420401
2014,"GNB",103.707429023326
2015,"GNB",339.227596455194
2016,"GNB",262.993789084247
2017,"GNB",89.9157417332476
2018,"GNB",75.5918891675583
2019,"GNB",126.484832037982
2020,"GNB",169.780291495669
2010,"GNQ",1040.71871858468
2011,"GNQ",1955.09368455298
2012,"GNQ",1884.73867733442
2013,"GNQ",2392.65061505
2014,"GNQ",1596.97637458128
2015,"GNQ",1332.94616610634
2016,"GNQ",1316.15164445114
2017,"GNQ",744.930065285314
2018,"GNQ",664.690556202968
2019,"GNQ",528.179247365068
2020,"GNQ",658.208355506138
2010,"GRC",79060.6278124071
2011,"GRC",70707.743004157
2012,"GRC",49147.2470971661
2013,"GRC",51534.5823531837
2014,"GRC",48895.3652245412
2015,"GRC",46598.8694611576
2016,"GRC",51217.3119555516
2017,"GRC",50921.9946889207
2018,"GRC",51319.8294247541
2019,"GRC",50300.2193911977
2020,"GRC",48336.7435123996
2010,"GRL",285.816889110494
2011,"GRL",225.505387218286
2012,"GRL",265.420011264807
2013,"GRL",438.537246638088
2014,"GRL",385.669796407535
2015,"GRL",424.724013806486
2016,"GRL",463.192783801834
2017,"GRL",451.389482512372
2018,"GRL",426.193863193132
2019,"GRL",486.288990334315
2020,"GRL",379.025836636172
2010,"GTM",22760.3246011659
2011,"GTM",27016.4996882481
2012,"GTM",23445.6981521492
2013,"GTM",26253.5942641205
2014,"GTM",25855.4786518319
2015,"GTM",34863.509234869
2016,"GTM",39504.7206588991
2017,"GTM",37072.1220933371
2018,"GTM",35925.2889167085
2019,"GTM",38674.2152146181
2020,"GTM",45358.8819918901
2010,"GUM",105.612350047999
2011,"GUM",86.6252010832491
2012,"GUM",105.669437856872
2013,"GUM",108.72178150983
2014,"GUM",88.5677085234396
2015,"GUM",62.0308512164079
2016,"GUM",89.2563177230688
2017,"GUM",85.1227074584698
2018,"GUM",96.4159508125427
2019,"GUM",58.9454617165881
2020,"GUM",32.4456484893573
2010,"HKG",67302.2621379707
2011,"HKG",85967.353080042
2012,"HKG",105151.67116688
2013,"HKG",96822.7873864431
2014,"HKG",103170.600387387
2015,"HKG",128819.612417991
2016,"HKG",134458.448669658
2017,"HKG",102983.233704597
2018,"HKG",97190.2565531407
2019,"HKG",146955.918335947
2020,"HKG",156941.35595942
2010,"HND",3075.5700406192
2011,"HND",3286.23004848036
2012,"HND",4204.96864941254
2013,"HND",3633.62532533922
2014,"HND",3500.61217585233
2015,"HND",4664.11736064897
2016,"HND",4689.74858639489
2017,"HND",4863.14365503149
2018,"HND",4541.08735074789
2019,"HND",4658.74966350976
2020,"HND",4371.97778857709
2010,"HRV",45213.9877956597
2011,"HRV",48831.4004972081
2012,"HRV",41188.5358665126
2013,"HRV",41222.410470198
2014,"HRV",40922.9149113695
2015,"HRV",37605.7553219258
2016,"HRV",39166.0407107025
2017,"HRV",43410.4369026195
2018,"HRV",50983.2713056693
2019,"HRV",49879.3021217895
2020,"HRV",54223.7419543938
2010,"HTI",1743.70232453783
2011,"HTI",2692.2076223506
2012,"HTI",2184.72443086613
2013,"HTI",3568.26016754592
2014,"HTI",3756.52345242305
2015,"HTI",4640.26595139087
2016,"HTI",4070.11272469173
2017,"HTI",4501.47440822209
2018,"HTI",5159.25845689092
2019,"HTI",3555.79840100196
2020,"HTI",3557.00136032126
