Year,iso_code3,ef_ippu_tonne_cf4_per_tonne_production_metals
2019,GMB,0.0
2020,GMB,0.0
2010,GNB,0.0
2011,GNB,0.0
2012,GNB,0.0
2013,GNB,0.0
2014,GNB,0.0
2015,GNB,0.0
2016,GNB,0.0
2017,GNB,0.0
2018,GNB,0.0
2019,GNB,0.0
2020,GNB,0.0
2010,GNQ,0.0
2011,GNQ,0.0
2012,GNQ,0.0
2013,GNQ,0.0
2014,GNQ,0.0
2015,GNQ,0.0
2016,GNQ,0.0
2017,GNQ,0.0
2018,GNQ,0.0
2019,GNQ,0.0
2020,GNQ,0.0
2010,GRC,4.030192751594009e-06
2011,GRC,4.349883360304868e-06
2012,GRC,5.3195335897988286e-06
2013,GRC,4.229211546684831e-06
2014,GRC,5.13869683146607e-06
2015,GRC,5.26654384465696e-06
2016,GRC,5.352029478155312e-06
2017,GRC,5.14386574181851e-06
2018,GRC,5.074469868616448e-06
2019,GRC,6.723451351327726e-06
2020,GRC,6.115718063305377e-06
2010,GRD,0.0
2011,GRD,0.0
2012,GRD,0.0
2013,GRD,0.0
2014,GRD,0.0
2015,GRD,0.0
2016,GRD,0.0
2017,GRD,0.0
2018,GRD,0.0
2019,GRD,0.0
2020,GRD,0.0
2010,GRL,3.402769630936531e-05
2011,GRL,3.130637373867768e-05
2012,GRL,2.381542953582807e-05
2013,GRL,2.4854217309990643e-05
2014,GRL,1.548124204026236e-05
2015,GRL,2.2340248861040437e-05
2016,GRL,1.673930923489228e-05
2017,GRL,1.443159055786847e-05
2018,GRL,1.2050966135811798e-05
2019,GRL,1.5768876191867242e-05
2020,GRL,1.435007818198907e-05
2010,GTM,0.0
2011,GTM,0.0
2012,GTM,0.0
2013,GTM,0.0
2014,GTM,0.0
2015,GTM,0.0
2016,GTM,0.0
2017,GTM,0.0
2018,GTM,0.0
2019,GTM,0.0
2020,GTM,0.0
2010,GUM,0.0
2011,GUM,0.0
2012,GUM,0.0
2013,GUM,0.0
2014,GUM,0.0
2015,GUM,0.0
2016,GUM,0.0
2017,GUM,0.0
2018,GUM,0.0
2019,GUM,0.0
2020,GUM,0.0
2010,GUY,0.0
2011,GUY,0.0
2012,GUY,0.0
2013,GUY,0.0
2014,GUY,0.0
2015,GUY,0.0
2016,GUY,0.0
2017,GUY,0.0
2018,GUY,0.0
2019,GUY,0.0
2020,GUY,0.0
2010,HKG,0.0
2011,HKG,0.0
2012,HKG,0.0
2013,HKG,0.0
2014,HKG,0.0
2015,HKG,0.0
2016,HKG,0.0
2017,HKG,0.0
2018,HKG,0.0
2019,HKG,0.0
2020,HKG,0.0
2010,HND,0.0
2011,HND,0.0
2012,HND,0.0
2013,HND,0.0
2014,HND,0.0
2015,HND,0.0
2016,HND,0.0
2017,HND,0.0
2018,HND,0.0
2019,HND,0.0
2020,HND,0.0
2010,HRV,1.8982486861164322e-07
2011,HRV,1.3614364485248226e-07
2012,HRV,0.0
2013,HRV,0.0
2014,HRV,0.0
2015,HRV,0.0
2016,HRV,0.0
2017,HRV,0.0
2018,HRV,0.0
2019,HRV,0.0
2020,HRV,0.0
2010,HTI,0.0
2011,HTI,0.0
2012,HTI,0.0
2013,HTI,0.0
2014,HTI,0.0
2015,HTI,0.0
2016,HTI,0.0
2017,HTI,0.0
2018,HTI,0.0
2019,HTI,0.0
2020,HTI,0.0
2010,HUN,0.0
2011,HUN,0.0
2012,HUN,0.0
2013,HUN,0.0
2014,HUN,0.0
2015,HUN,0.0
2016,HUN,0.0
2017,HUN,0.0
2018,HUN,0.0
2019,HUN,0.0
2020,HUN,0.0
2010,IDN,7.763197583643511e-07
2011,IDN,4.901660073838317e-07
2012,IDN,2.791530517168951e-07
2013,IDN,2.400593262605425e-07
2014,IDN,2.918600126011549e-07
2015,IDN,2.1851006959428374e-07
2016,IDN,1.426636390670954e-07
2017,IDN,1.1543523906057436e-07
2018,IDN,1.1662489814049377e-07
2019,IDN,9.449737524012436e-08
2020,IDN,8.731350185255294e-08
2010,IMN,0.0
2011,IMN,0.0
2012,IMN,0.0
2013,IMN,0.0
2014,IMN,0.0
2015,IMN,0.0
2016,IMN,0.0
2017,IMN,0.0
2018,IMN,0.0
2019,IMN,0.0
2020,IMN,0.0
2010,IND,1.9665513938894194e-06
2011,IND,2.2313638564924744e-06
2012,IND,2.010067403303899e-06
2013,IND,1.677282003041524e-06
2014,IND,1.830563206675028e-06
2015,IND,2.064917740236938e-06
2016,IND,2.3261322909154297e-06
2017,IND,2.196528212774168e-06
2018,IND,1.7973343416816302e-06
2019,IND,1.661513301563844e-06
2020,IND,1.81430033414247e-06
2010,IRL,0.0
2011,IRL,0.0
2012,IRL,0.0
2013,IRL,0.0
2014,IRL,0.0
2015,IRL,0.0
2016,IRL,0.0
2017,IRL,0.0
2018,IRL,0.0
2019,IRL,0.0
2020,IRL,0.0
2010,IRN,1.0271443790091018e-06
2011,IRN,7.796705535612912e-07
2012,IRN,9.830816939883644e-07
2013,IRN,1.030809565152266e-06
2014,IRN,9.145338326897186e-07
2015,IRN,8.33281081754115e-07
2016,IRN,6.568975162066164e-07
2017,IRN,5.567354013282249e-07
2018,IRN,8.037602737132051e-07
2019,IRN,1.6601780122240077e-06
2020,IRN,1.5035070954318886e-06
2010,IRQ,0.0
2011,IRQ,0.0
2012,IRQ,0.0
2013,IRQ,0.0
2014,IRQ,0.0
2015,IRQ,0.0
2016,IRQ,0.0
2017,IRQ,0.0
2018,IRQ,0.0
2019,IRQ,0.0
2020,IRQ,0.0
2010,ISL,3.402769630936531e-05
2011,ISL,3.130637373867768e-05
2012,ISL,2.381542953582807e-05
2013,ISL,2.4854217309990643e-05
2014,ISL,1.548124204026236e-05
2015,ISL,2.2340248861040437e-05
2016,ISL,1.673930923489228e-05
2017,ISL,1.443159055786847e-05
2018,ISL,1.2050966135811798e-05
2019,ISL,1.5768876191867242e-05
2020,ISL,1.435007818198907e-05
2010,ISR,0.0
2011,ISR,0.0
2012,ISR,0.0
2013,ISR,0.0
2014,ISR,0.0
2015,ISR,0.0
2016,ISR,0.0
2017,ISR,0.0
2018,ISR,0.0
2019,ISR,0.0
2020,ISR,0.0
2010,ITA,5.8613000923300327e-08
2011,ITA,6.175613467538567e-08
2012,ITA,3.97297764181564e-08
2013,ITA,0.0
2014,ITA,0.0
2015,ITA,0.0
2016,ITA,0.0
2017,ITA,0.0
2018,ITA,0.0
2019,ITA,0.0
2020,ITA,0.0
2010,JAM,0.0
2011,JAM,0.0
2012,JAM,0.0
2013,JAM,0.0
2014,JAM,0.0
2015,JAM,0.0
2016,JAM,0.0
2017,JAM,0.0
2018,JAM,0.0
2019,JAM,0.0
2020,JAM,0.0
2010,JOR,0.0
2011,JOR,0.0
2012,JOR,0.0
2013,JOR,0.0
2014,JOR,0.0
2015,JOR,0.0
2016,JOR,0.0
2017,JOR,0.0
2018,JOR,0.0
2019,JOR,0.0
2020,JOR,0.0
2010,JPN,3.69794512961843e-09
2011,JPN,4.073695327365905e-09
2012,JPN,4.2422931179043525e-09
